Date,Open,High,Low,Close,Adj Close,Volume
2012-08-01,10.49,10.49,10.17,10.35,5.133729,600
2012-08-02,10.13,10.37,10.12,10.37,5.143649,600
2012-08-03,10.3,10.3,10.3,10.3,5.108928,300
2012-08-07,10.3,10.3,10.3,10.3,5.108928,0
2012-08-08,10.2,10.42,10.2,10.42,5.168449,1200
2012-08-09,10.45,10.45,10.45,10.45,5.183329,100
2012-08-10,10.28,10.28,10.21,10.21,5.064287,300
2012-08-13,10.21,10.21,10.21,10.21,5.064287,0
2012-08-14,10.95,10.95,10.31,10.35,5.133729,1100
2012-08-15,10.21,10.36,10.21,10.35,5.133729,95200
2012-08-16,10.11,10.25,10.11,10.15,5.034525,6200
2012-08-17,10.15,10.35,10.15,10.35,5.133729,5400
2012-08-20,10.4,10.4,10.4,10.4,5.158528,4500
2012-08-21,10.3,10.5,10.3,10.5,5.20813,14200
2012-08-22,10.47,10.6,10.43,10.6,5.257732,73600
2012-08-23,10.5,10.62,10.5,10.62,5.267652,1200
2012-08-24,10.65,10.76,10.65,10.75,5.332133,9800
2012-08-27,10.75,10.75,10.75,10.75,5.332133,0
2012-08-28,10.75,10.75,10.75,10.75,5.332133,0
2012-08-29,10.41,10.6,10.41,10.55,5.232931,2700
2012-08-30,10.35,10.5,10.35,10.5,5.20813,800
2012-08-31,10.34,10.34,10.21,10.21,5.064287,1500
2012-09-04,10.21,10.24,10.15,10.15,5.034525,5400
2012-09-05,10.19,10.19,10.19,10.19,5.054366,300
2012-09-06,10.15,10.25,10.15,10.25,5.084127,1100
2012-09-07,10.2,10.47,10.2,10.47,5.19325,3700
2012-09-10,10.4,10.6,10.4,10.45,5.183329,1700
2012-09-11,10.5,10.51,10.5,10.51,5.21309,400
2012-09-12,10.66,10.75,10.66,10.72,5.317253,8400
2012-09-13,10.44,10.72,10.43,10.72,5.317253,1000
2012-09-14,10.9,10.97,10.9,10.9,5.406535,7900
2012-09-17,10.9,11,10.9,10.94,5.426375,6800
2012-09-18,10.52,10.92,10.52,10.52,5.218051,4200
2012-09-19,10.52,11,10.51,11,5.456136,14100
2012-09-20,10.85,10.85,10.59,10.69,5.302372,10200
2012-09-21,10.68,10.99,10.63,10.74,5.327173,31100
2012-09-24,10.6,11,10.6,10.92,5.416455,12000
2012-09-25,10.87,11.25,10.87,11.01,5.461096,7600
2012-09-26,11,11,10.8,10.84,5.376774,5700
2012-09-27,10.84,10.85,10.84,10.84,5.376774,11000
2012-09-28,11,11.15,11,11,5.456136,1400
2012-10-01,11,11.18,10.85,11.05,5.480937,32000
2012-10-02,11,11.19,11,11,5.456136,169000
2012-10-03,11.01,11.2,11,11.2,5.555338,12100
2012-10-04,11.1,11.2,11.1,11.2,5.555338,7900
2012-10-05,11.2,11.2,11.1,11.1,5.505738,2500
2012-10-09,11.1,11.1,11,11.01,5.461096,20700
2012-10-10,11.06,11.81,11,11.79,5.847986,3800
2012-10-11,11.1,11.1,11.1,11.1,5.505738,500
2012-10-12,11,11.53,11,11.53,5.719023,2000
2012-10-15,11.01,11.01,11,11,5.456136,9600
2012-10-16,11.16,11.25,11.01,11.01,5.461096,8600
2012-10-17,11.01,11.01,11.01,11.01,5.461096,0
2012-10-18,11.1,11.1,11.1,11.1,5.505738,400
2012-10-19,10.92,11.09,10.92,11.09,5.500777,300
2012-10-22,11.15,11.15,11.15,11.15,5.530538,300
2012-10-23,11.15,11.15,10.85,10.9,5.406535,396700
2012-10-24,10.98,11.03,10.95,11.01,5.461096,287000
2012-10-25,11.03,11.27,10.9,10.95,5.431335,20800
2012-10-26,11.01,11.01,10.65,10.69,5.302372,127100
2012-10-29,10.5,10.73,10.3,10.7,5.307333,59200
2012-10-30,10.7,10.7,10.7,10.7,5.307333,3000
2012-10-31,10.7,11.61,10.6,11.59,5.748784,441900
2012-11-01,11.2,11.2,10.91,11,5.456136,367100
2012-11-02,11.2,11.6,11.1,11.35,5.629741,208400
2012-11-05,11.44,12.25,11.4,12.11,6.00671,374400
2012-11-06,11.95,12.7,11.85,12.55,6.224955,62000
2012-11-07,12.5,13.2,12.4,12.86,6.378719,82700
2012-11-08,13,13.14,12.98,12.98,6.438241,98700
2012-11-09,13,13.05,11.9,12.5,6.200155,46900
2012-11-12,12.5,12.7,12.15,12.47,6.185274,75300
2012-11-13,11.9,12.15,11.25,11.76,5.833106,735900
2012-11-14,11.4,12.55,11.4,11.6,5.753744,1007100
2012-11-15,11.6,11.75,11.35,11.41,5.659501,478800
2012-11-16,11,11.39,10.65,11,5.456136,362300
2012-11-19,10.85,10.99,10.63,10.7,5.307333,197100
2012-11-20,10.6,10.99,10.44,10.8,5.356934,170800
2012-11-21,10.88,11.19,10.79,11.19,5.550378,52500
2012-11-22,10.92,10.92,10.81,10.89,5.401575,5700
2012-11-23,11.17,11.49,10.85,10.85,5.381734,85100
2012-11-26,10.79,11.1,10.56,10.7,5.307333,118500
2012-11-27,10.56,11.3,10.56,11.25,5.580139,47500
2012-11-28,11.13,11.3,10.7,11.25,5.580139,158000
2012-11-29,11.42,11.6,11.25,11.33,5.61982,149000
2012-11-30,11.3,11.78,11.15,11.15,5.530538,211400
2012-12-03,11.15,11.45,10.55,10.6,5.257732,75600
2012-12-04,10.56,10.87,10.55,10.58,5.247811,73200
2012-12-05,10.56,10.68,10.55,10.65,5.282532,100000
2012-12-06,10.55,11.04,10.55,10.73,5.322213,77300
2012-12-07,10.82,11.26,10.69,10.97,5.441256,27200
2012-12-10,10.66,11.23,10.66,11.04,5.475976,68900
2012-12-11,11,11.09,10.8,10.9,5.406535,41200
2012-12-12,10.77,11.45,10.77,11.31,5.6099,293200
2012-12-13,11.64,11.93,11.5,11.88,5.892627,496500
2012-12-14,11.98,11.98,11.54,11.65,5.778544,31800
2012-12-17,11.7,11.84,11.53,11.62,5.763664,35200
2012-12-18,11.62,11.95,11.55,11.67,5.788465,41600
2012-12-19,11.75,11.95,11.71,11.8,5.852946,269300
2012-12-20,10.98,11.02,10.46,10.74,5.82043,48200
2012-12-21,10.77,10.8,10.6,10.66,5.777075,29600
2012-12-24,10.59,11,10.53,10.83,5.869204,7200
2012-12-27,10.62,10.9,9.94,10.1,5.473589,68900
2012-12-28,10.13,10.2,9.96,10.11,5.479008,34700
2012-12-31,10.03,10.1,10,10.05,5.446492,53000
2013-01-02,10,10.13,9.95,10.12,5.484427,28900
2013-01-03,9.95,10.07,9.9,9.95,5.392297,190700
2013-01-04,10.03,10.06,9.95,10,5.419395,15400
2013-01-07,10.1,10.1,9.95,10.01,5.424814,104200
2013-01-08,10,10,9.7,9.7,5.256813,68800
2013-01-09,9.77,9.77,9.6,9.6,5.202619,13200
2013-01-10,9.62,9.79,9.61,9.79,5.305587,30100
2013-01-11,9.89,9.89,9.6,9.64,5.224297,10600
2013-01-14,9.63,9.74,9.58,9.71,5.262232,73900
2013-01-15,9.77,9.9,9.72,9.75,5.28391,20700
2013-01-16,9.81,9.82,9.7,9.7,5.256813,6400
2013-01-17,9.7,9.8,9.7,9.7,5.256813,12500
2013-01-18,9.7,9.81,9.65,9.65,5.229715,9600
2013-01-21,9.59,9.69,9.5,9.62,5.213458,4900
2013-01-22,9.7,9.75,9.65,9.7,5.256813,20200
2013-01-23,9.7,9.76,9.65,9.65,5.229715,22500
2013-01-24,9.62,9.92,9.6,9.61,5.208038,15800
2013-01-25,9.85,9.85,9.62,9.74,5.27849,10700
2013-01-28,9.85,9.86,9.6,9.6,5.202619,9700
2013-01-29,9.6,9.64,9.55,9.55,5.175522,8200
2013-01-30,9.55,9.61,9.5,9.55,5.175522,12900
2013-01-31,9.51,9.61,9.43,9.54,5.170103,41000
2013-02-01,9.49,9.54,9.42,9.5,5.148425,18200
2013-02-04,9.5,9.62,9.5,9.52,5.159264,69100
2013-02-05,9.6,9.74,9.44,9.63,5.218877,18600
2013-02-06,9.5,9.87,9.5,9.81,5.316426,13400
2013-02-07,9.81,9.9,9.73,9.74,5.27849,5800
2013-02-08,9.79,9.79,9.61,9.72,5.267652,13700
2013-02-11,9.61,9.81,9.59,9.81,5.316426,52500
2013-02-12,9.68,9.74,9.56,9.66,5.235135,5700
2013-02-13,9.65,9.8,9.64,9.64,5.224297,10100
2013-02-14,9.58,9.65,9.57,9.6,5.202619,6400
2013-02-15,9.54,9.71,9.54,9.71,5.262232,11600
2013-02-19,9.64,9.75,9.64,9.64,5.224297,15300
2013-02-20,9.5,9.7,9.5,9.52,5.159264,88400
2013-02-21,9.62,9.69,9.5,9.51,5.153844,14100
2013-02-22,9.54,9.62,9.5,9.5,5.148425,63200
2013-02-25,9.53,9.56,9.45,9.55,5.175522,14800
2013-02-26,9.5,9.5,9.3,9.3,5.040037,28300
2013-02-27,9.25,9.25,8.85,8.85,4.796165,104300
2013-02-28,8.86,9.65,8.86,9.46,5.126747,61500
2013-03-01,9.33,9.33,9,9.08,4.92081,9000
2013-03-04,8.98,9.13,8.98,9.11,4.937068,20200
2013-03-05,9.13,9.19,9.1,9.15,4.958746,13300
2013-03-06,9.22,9.45,9.05,9.45,5.121328,22900
2013-03-07,9.4,9.68,9.4,9.57,5.18636,25900
2013-03-08,9.51,9.62,9.28,9.62,5.213458,13700
2013-03-11,9.62,9.67,9.3,9.62,5.213458,27700
2013-03-12,9.62,9.62,9.03,9.11,4.937068,16900
2013-03-13,9.06,9.27,9.06,9.11,4.937068,11500
2013-03-14,9.02,9.13,9,9,4.877455,21200
2013-03-15,9,9.13,8.95,8.95,4.850358,20500
2013-03-18,8.96,9.3,8.96,9.15,4.958746,16600
2013-03-19,9.06,9.23,9.06,9.23,5.002101,6200
2013-03-20,9.16,9.16,9.15,9.15,4.958746,5300
2013-03-21,9.15,9.24,9.14,9.21,4.991262,7400
2013-03-22,9.14,9.34,9.1,9.34,5.061715,12600
2013-03-25,9.28,9.63,9.28,9.33,5.056295,29500
2013-03-26,9.3,9.63,9.3,9.56,5.180942,54800
2013-03-27,9.47,9.7,9.46,9.56,5.180942,16900
2013-03-28,9.63,9.91,9.51,9.77,5.294749,21600
2013-04-01,9.77,9.98,9.71,9.71,5.262232,11500
2013-04-02,9.93,9.95,9.74,9.94,5.386878,10700
2013-04-03,9.8,9.85,9.67,9.7,5.256813,12000
2013-04-04,9.7,9.76,9.63,9.7,5.256813,60800
2013-04-05,9.75,9.79,9.63,9.79,5.305587,9900
2013-04-08,9.7,9.74,9.7,9.7,5.256813,11000
2013-04-09,9.64,9.72,9.62,9.71,5.262232,9000
2013-04-10,9.61,9.73,9.6,9.6,5.202619,8300
2013-04-11,9.6,9.7,9.6,9.65,5.229715,9900
2013-04-12,9.7,9.75,9.6,9.72,5.267652,6600
2013-04-15,9.72,9.77,9.08,9.75,5.28391,14600
2013-04-16,9.7,9.73,9.7,9.73,5.273071,2200
2013-04-17,9.6,9.6,9.35,9.35,5.067134,5600
2013-04-18,9.37,9.75,9.35,9.54,5.170103,10800
2013-04-19,9.55,9.65,9.5,9.52,5.159264,34800
2013-04-22,9.55,9.62,9.48,9.53,5.164683,99400
2013-04-23,9.44,9.73,9.43,9.49,5.143005,22900
2013-04-24,9.44,9.57,9.41,9.41,5.09965,7100
2013-04-25,9.53,9.7,9.47,9.5,5.148425,649300
2013-04-26,9.55,9.7,9.45,9.57,5.18636,18500
